tid,population,white,indigenous,black,asian,minority,adult,income,home,rent,education,p_white,p_indig,p_black,p_asian,p_mnrty,p_poc,p_educ
2050001,3920,3410,65,445,0,0,3080,25182,241261,602,410,0.869897959,0.016581633,0.113520408,0,0,0.130102041,0.104591837
2050002,5160,4505,195,125,335,0,4425,27718,294316,603,880,0.873062016,0.037790698,0.024224806,0.064922481,0,0.126937984,0.170542636
2050003,2600,2035,30,35,470,30,2360,30171,720989,1132,1110,0.782692308,0.011538462,0.013461538,0.180769231,0.011538462,0.217307692,0.426923077
2050004.01,,,,,,,,,,,,,,,,,,
2050004.02,4565,3545,45,125,595,255,4300,17766,402059,905,1680,0.776560789,0.009857612,0.027382256,0.13033954,0.055859803,0.223439211,0.368017525
2050005,1795,1700,0,0,95,0,1450,55492,723201,875,725,0.947075209,0,0,0.052924791,0,0.052924791,0.403899721
2050006,3015,2890,20,20,55,30,2735,24161,525779,921,970,0.95854063,0.006633499,0.006633499,0.018242123,0.009950249,0.04145937,0.32172471
2050007,1475,1410,0,0,45,20,1455,36762,366373,983,425,0.955932203,0,0,0.030508475,0.013559322,0.044067797,0.288135593
2050008,,,,,,,,,,,,,,,,,,
2050009,1790,1605,60,75,50,0,1755,33838,353150,954,690,0.896648045,0.033519553,0.041899441,0.027932961,0,0.103351955,0.38547486
2050010,4950,3245,160,990,225,330,4455,17564,329728,759,1220,0.655555556,0.032323232,0.2,0.045454545,0.066666667,0.344444444,0.246464646
2050011,5725,4930,180,85,305,225,5195,24705,367530,960,1895,0.861135371,0.031441048,0.014847162,0.053275109,0.03930131,0.138864629,0.331004367
2050012,2485,2170,30,20,180,85,2100,36293,498673,1201,910,0.873239437,0.012072435,0.00804829,0.072434608,0.034205231,0.126760563,0.366197183
2050013,2730,2535,30,55,70,40,2335,40596,482609,955,1110,0.928571429,0.010989011,0.02014652,0.025641026,0.014652015,0.071428571,0.406593407
2050014,3815,3525,65,85,75,65,3395,32544,281662,863,925,0.923984273,0.017038008,0.022280472,0.01965924,0.017038008,0.076015727,0.242463958
2050015,4500,3800,130,155,355,60,3930,25725,184205,692,600,0.844444444,0.028888889,0.034444444,0.078888889,0.013333333,0.155555556,0.133333333
2050016,3215,2810,35,80,85,205,2760,33509,290299,784,915,0.874027994,0.01088647,0.024883359,0.026438569,0.063763608,0.125972006,0.284603421
2050017,2710,2455,25,25,80,125,2165,36807,402595,726,775,0.905904059,0.009225092,0.009225092,0.029520295,0.046125461,0.094095941,0.28597786
2050018,3565,3220,85,70,170,20,3160,29199,340284,749,735,0.903225806,0.023842917,0.019635344,0.047685835,0.005610098,0.096774194,0.206171108
2050019,4840,4480,90,0,175,95,4330,35069,316043,847,1680,0.925619835,0.018595041,0,0.036157025,0.019628099,0.074380165,0.347107438
2050020,1945,1740,55,150,0,0,1810,26970,304330,863,670,0.894601542,0.028277635,0.077120823,0,0,0.105398458,0.344473008
2050021,3285,2630,30,385,85,155,2785,24764,279612,727,785,0.800608828,0.00913242,0.117199391,0.02587519,0.04718417,0.199391172,0.238964992
2050022,5380,4625,190,325,65,175,4890,32234,253840,780,1420,0.859665428,0.035315985,0.060408922,0.012081784,0.032527881,0.140334572,0.26394052
2050023,4210,3350,70,350,305,135,3570,21909,240784,726,520,0.795724466,0.016627078,0.083135392,0.072446556,0.032066508,0.204275534,0.123515439
2050024,6270,5210,250,245,260,305,5560,26827,232374,784,890,0.830940989,0.039872408,0.03907496,0.041467305,0.048644338,0.169059011,0.141945774
2050025.01,4600,3530,85,385,375,225,3895,27803,230158,739,920,0.767391304,0.018478261,0.083695652,0.081521739,0.048913043,0.232608696,0.2
2050025.02,4825,3935,230,35,365,260,4360,25379,283020,724,1065,0.815544041,0.047668394,0.007253886,0.075647668,0.05388601,0.184455959,0.220725389
2050100,2870,2565,245,60,0,0,2375,26846,155535,706,180,0.893728223,0.085365854,0.020905923,0,0,0.106271777,0.06271777
2050101,3405,3115,220,60,10,0,2965,26045,206460,750,405,0.914831131,0.064610866,0.017621145,0.002936858,0,0.085168869,0.118942731
2050102,4240,3900,165,105,70,0,3655,29418,270969,740,1010,0.919811321,0.038915094,0.024764151,0.016509434,0,0.080188679,0.238207547
2050103,4320,3880,125,155,160,0,3830,34721,239150,683,950,0.898148148,0.028935185,0.03587963,0.037037037,0,0.101851852,0.219907407
2050104.01,2100,1990,35,65,0,10,1865,36751,192841,734,225,0.947619048,0.016666667,0.030952381,0,0.004761905,0.052380952,0.107142857
2050104.02,7935,7185,80,190,345,135,6720,40172,302476,1309,1520,0.905482042,0.010081916,0.023944549,0.043478261,0.017013233,0.094517958,0.191556396
2050108,4310,3985,115,115,85,10,3795,39848,293761,1011,1020,0.924593968,0.026682135,0.026682135,0.019721578,0.002320186,0.075406032,0.236658933
2050109,3145,2935,55,35,120,0,2855,27124,241927,672,745,0.933227345,0.017488076,0.011128776,0.038155803,0,0.066772655,0.236883943
2050110,1605,1295,70,210,30,0,1350,18792,270242,645,100,0.806853583,0.043613707,0.130841121,0.018691589,0,0.193146417,0.062305296
2050111,3015,2730,100,130,55,0,2805,27778,194884,746,510,0.905472637,0.033167496,0.043117745,0.018242123,0,0.094527363,0.169154229
2050112,1915,1475,45,265,105,25,1740,22469,151431,609,130,0.770234987,0.023498695,0.138381201,0.054830287,0.01305483,0.229765013,0.067885117
